SampleID,Fiber,Time,Country,Fraction,Subject
I_BK-F01-1,BLACK,24,US,INSOLUBLE,1
BHI-1,NONE,24,CTRL,NONE,CTRL
BHI-2,NONE,24,CTRL,NONE,CTRL
COMM1,CTRL,CTRL,CTRL,CTRL,CTRL
COMM2,CTRL,CTRL,CTRL,CTRL,CTRL
I_BK-1,BLACK,24,CTRL,NONE,CTRL
I_BK-2,BLACK,24,CTRL,NONE,CTRL
I_BK-F01-2,BLACK,24,US,INSOLUBLE,1
I_BK-F01-3,BLACK,24,US,INSOLUBLE,1
I_BK-F02-1,BLACK,24,US,INSOLUBLE,2
I_BK-F02-2,BLACK,24,US,INSOLUBLE,2
I_BK-F02-3,BLACK,24,US,INSOLUBLE,2
I_BK-F06-1,BLACK,24,US,INSOLUBLE,6
I_BK-F06-2,BLACK,24,US,INSOLUBLE,6
I_BK-F06-3,BLACK,24,US,INSOLUBLE,6
I_BK-F09-1,BLACK,24,US,INSOLUBLE,9
I_BK-F09-2,BLACK,24,US,INSOLUBLE,9
I_BK-F09-3,BLACK,24,US,INSOLUBLE,9
I_BK-F15-1,BLACK,24,US,INSOLUBLE,15
I_BK-F15-2,BLACK,24,US,INSOLUBLE,15
I_BK-F15-3,BLACK,24,US,INSOLUBLE,15
I_BK-F16-1,BLACK,24,MO,INSOLUBLE,16
I_BK-F16-2,BLACK,24,MO,INSOLUBLE,16
I_BK-F16-3,BLACK,24,MO,INSOLUBLE,16
I_PN-1,PINTO,24,CTRL,INSOLUBLE,CTRL
I_PN-2,PINTO,24,CTRL,INSOLUBLE,CTRL
I_PN-F01-1,PINTO,24,US,INSOLUBLE,1
I_PN-F01-2,PINTO,24,US,INSOLUBLE,1
I_PN-F01-3,PINTO,24,US,INSOLUBLE,1
I_PN-F02-1,PINTO,24,US,INSOLUBLE,2
I_PN-F02-2,PINTO,24,US,INSOLUBLE,2
I_PN-F02-3,PINTO,24,US,INSOLUBLE,2
I_PN-F06-1,PINTO,24,US,INSOLUBLE,6
I_PN-F06-2,PINTO,24,US,INSOLUBLE,6
I_PN-F06-3,PINTO,24,US,INSOLUBLE,6
I_PN-F09-1,PINTO,24,US,INSOLUBLE,9
I_PN-F09-2,PINTO,24,US,INSOLUBLE,9
I_PN-F09-3,PINTO,24,US,INSOLUBLE,9
I_PN-F15-1,PINTO,24,US,INSOLUBLE,15
I_PN-F15-2,PINTO,24,US,INSOLUBLE,15
I_PN-F15-3,PINTO,24,US,INSOLUBLE,15
I_PN-F16-1,PINTO,24,MO,INSOLUBLE,16
I_PN-F16-2,PINTO,24,MO,INSOLUBLE,16
I_PN-F16-3,PINTO,24,MO,INSOLUBLE,16
NB-F01-1,NONE,24,US,NONE,1
NB-F01-2,NONE,24,US,NONE,1
NB-F02-1,NONE,24,US,NONE,2
NB-F02-2,NONE,24,US,NONE,2
NB-F06-1,NONE,24,US,NONE,6
NB-F06-2,NONE,24,US,NONE,6
NB-F09-1,NONE,24,US,NONE,9
NB-F09-2,NONE,24,US,NONE,9
NB-F15-1,NONE,24,US,NONE,15
NB-F15-2,NONE,24,US,NONE,15
NB-F16-1,NONE,24,MO,NONE,16
NEG1,CTRL,24,CTRL,CTRL,CTRL
NEG2,CTRL,24,CTRL,CTRL,CTRL
S_BK-1,BLACK,24,CTRL,SOLUBLE,CTRL
S_BK-2,BLACK,24,CTRL,SOLUBLE,CTRL
S_BK-F01-1,BLACK,24,US,SOLUBLE,1
S_BK-F01-2,BLACK,24,US,SOLUBLE,1
S_BK-F01-3,BLACK,24,US,SOLUBLE,1
S_BK-F02-1,BLACK,24,US,SOLUBLE,2
S_BK-F02-2,BLACK,24,US,SOLUBLE,2
S_BK-F02-3,BLACK,24,US,SOLUBLE,2
S_BK-F06-1,BLACK,24,US,SOLUBLE,6
S_BK-F06-2,BLACK,24,US,SOLUBLE,6
S_BK-F06-3,BLACK,24,US,SOLUBLE,6
S_BK-F09-1,BLACK,24,US,SOLUBLE,9
S_BK-F09-2,BLACK,24,US,SOLUBLE,9
S_BK-F09-3,BLACK,24,US,SOLUBLE,9
S_BK-F15-1,BLACK,24,US,SOLUBLE,15
S_BK-F15-2,BLACK,24,US,SOLUBLE,15
S_BK-F15-3,BLACK,24,US,SOLUBLE,15
S_BK-F16-1,BLACK,24,MO,SOLUBLE,16
S_BK-F16-2,BLACK,24,MO,SOLUBLE,16
S_BK-F16-3,BLACK,24,MO,SOLUBLE,16
S_PN-1,PINTO,24,CTRL,SOLUBLE,CTRL
S_PN-2,PINTO,24,CTRL,SOLUBLE,CTRL
S_PN-F01-1,PINTO,24,US,SOLUBLE,1
S_PN-F01-2,PINTO,24,US,SOLUBLE,1
S_PN-F01-3,PINTO,24,US,SOLUBLE,1
S_PN-F02-1,PINTO,24,US,SOLUBLE,2
S_PN-F02-2,PINTO,24,US,SOLUBLE,2
S_PN-F02-3,PINTO,24,US,SOLUBLE,2
S_PN-F06-1,PINTO,24,US,SOLUBLE,6
S_PN-F06-2,PINTO,24,US,SOLUBLE,6
S_PN-F06-3,PINTO,24,US,SOLUBLE,6
S_PN-F09-1,PINTO,24,US,SOLUBLE,9
S_PN-F09-2,PINTO,24,US,SOLUBLE,9
S_PN-F09-3,PINTO,24,US,SOLUBLE,9
S_PN-F15-1,PINTO,24,US,SOLUBLE,15
S_PN-F15-2,PINTO,24,US,SOLUBLE,15
S_PN-F15-3,PINTO,24,US,SOLUBLE,15
S_PN-F16-1,PINTO,24,MO,SOLUBLE,16
S_PN-F16-2,PINTO,24,MO,SOLUBLE,16
S_PN-F16-3,PINTO,24,MO,SOLUBLE,16
